Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR1040813	0.0	0.0
SRR1040814	0.0	0.0
SRR1040879	0.3505577573708334	0.2589403396335679
SRR1040880	0.0	0.0
SRR1040881	1.1902067690913758	0.30402132332966403
SRR1040882	0.0	0.0
SRR1040883	0.0	0.0
SRR1040884	0.0	0.0
SRR1040885	1.356820893146385	0.704550226488798
SRR1040886	14.416472211110218	23.953007776377795
