Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52
SRR1040882 - illumina_universal_adapter	(1, 0.08848074699470929)	(2, 0.08856088222940497)	(3, 0.08867536113611309)	(4, 0.08942710595682977)	(5, 0.08955303275420871)	(6, 0.09004147608949671)	(7, 0.09018648270466033)	(8, 0.09049557575277227)	(9, 0.09080466880088421)	(10, 0.09168615638253677)	(12, 0.09281186563183332)	(14, 0.09460346052181545)	(16, 0.09640650330246842)	(18, 0.09855679876680269)	(20, 0.10041517301903125)	(22, 0.10223538763569041)	(24, 0.10398309894476779)	(26, 0.10559534354757387)	(28, 0.10718278438725987)	(30, 0.10868055008335781)	(32, 0.11018785568834813)	(34, 0.11151771898794083)	(36, 0.11284758228753354)	(38, 0.11423277705870184)	(40, 0.11562560375698402)	(42, 0.11699935063748151)	(44, 0.11817657539479673)	(46, 0.11941867153257987)	(48, 0.12059208032633816)	(50, 0.1218589802272414)	(52, 0.12304192892989202)	(54, 0.12420198185120102)	(56, 0.12542499817119945)	(58, 0.12675295348901372)	(60, 0.1281018966063911)	(62, 0.12963782193805845)	(64, 0.13130158204888318)	(66, 0.132806979672095)	(68, 0.1344631078558059)	(70, 0.1362566107275665)	(72, 0.13835920664743903)	(74, 0.14057437349224125)	(76, 0.14285059575395448)	(78, 0.14562098529629106)	(80, 0.14864132045160705)	(82, 0.15239050464629816)	(84, 0.15711657551156522)	(86, 0.16284242882874989)	(88, 0.16959096037919383)	(90, 0.17826655352589119)	(92, 0.18956943758154)	(94, 0.20455091050607652)	(96, 0.21876155879211168)
SRR1040882 - polya	(1, 0.007051900653220458)	(2, 0.010276389858832625)	(3, 0.011394467181015307)	(4, 0.013626805861823731)	(5, 0.01512647953970016)	(6, 0.01633613998724934)	(7, 0.01901113044066251)	(8, 0.024582437233791228)	(9, 0.03252345739577812)	(10, 0.041174246779355377)	(12, 0.04768618858926918)	(14, 0.06095238589496232)	(16, 0.07199387644696091)	(18, 0.0800512834974344)	(20, 0.08953967688175943)	(22, 0.09947263002046769)	(24, 0.10920715305421519)	(26, 0.11946064713170618)	(28, 0.12893950060713888)	(30, 0.13801767790909314)	(32, 0.14632312259076757)	(34, 0.15832432797733592)	(36, 0.1677974575074332)	(38, 0.1773793419989032)	(40, 0.18772251121998224)	(42, 0.19671292136012694)	(44, 0.20564800002869604)	(46, 0.2155370695864995)	(48, 0.2249128920458949)	(50, 0.23486492500238784)	(52, 0.24490281713891188)	(54, 0.25805071957433995)	(56, 0.2700023174346681)	(58, 0.2813319132352155)	(60, 0.2914003330801951)	(62, 0.30497753141577855)	(64, 0.3461918458124818)	(66, 0.37056631303241994)	(68, 0.38057558544226694)	(70, 0.389787321468714)	(72, 0.39828547231001377)	(74, 0.405837264189193)	(76, 0.414018690055267)	(78, 0.42398598686598765)	(80, 0.43170758912345064)	(82, 0.4398165116819428)	(84, 0.45147046438482985)	(86, 0.46453823158556223)	(88, 0.4769801807629569)	(90, 0.4904734279002878)	(92, 0.5002098589158137)	(94, 0.5096963443183604)	(96, 0.5166280421195373)
SRR1040883 - illumina_universal_adapter	(1, 0.06914345265535948)	(2, 0.06922480125182075)	(3, 0.06940605163340989)	(4, 0.07015816935858687)	(5, 0.07034370124525292)	(6, 0.07073046387053368)	(7, 0.07087603504314859)	(8, 0.07119286641883983)	(9, 0.07150113478437727)	(10, 0.0725793604795788)	(12, 0.07385524899249762)	(14, 0.07564206377792758)	(16, 0.07757944482522883)	(18, 0.07970021700665765)	(20, 0.08152057024852338)	(22, 0.08325600697303043)	(24, 0.08484230460402514)	(26, 0.08634368571766117)	(28, 0.08793854635880971)	(30, 0.08951342664293266)	(32, 0.09102051643000457)	(34, 0.09257184843620453)	(36, 0.0941602868197377)	(38, 0.09570091506324539)	(40, 0.09729577570439393)	(42, 0.09888207333538865)	(44, 0.10047550680817821)	(46, 0.10216812848191617)	(48, 0.10373159141916737)	(50, 0.10548272699562308)	(52, 0.10721102787833527)	(54, 0.10894789177120129)	(56, 0.11069331867422111)	(58, 0.11253793377818933)	(60, 0.11447317407295211)	(62, 0.11675878419984193)	(64, 0.11905795242614198)	(66, 0.12125079660969876)	(68, 0.12358992555004995)	(70, 0.12609246526750315)	(72, 0.12914660555569812)	(74, 0.13250687345689205)	(76, 0.13609548829552112)	(78, 0.1401579230293281)	(80, 0.14509663913554244)	(82, 0.15136119464723952)	(84, 0.1591756549967776)	(86, 0.1684957779650286)	(88, 0.1794221789212999)	(90, 0.19326571200330508)	(92, 0.2117189988847821)	(94, 0.23609360728762402)	(96, 0.257740896956475)
SRR1040883 - polya	(1, 0.009707599177711261)	(2, 0.012815971863547063)	(3, 0.014030492137030198)	(4, 0.016650773244098395)	(5, 0.01830057986706726)	(6, 0.01974772858306244)	(7, 0.022400834562386937)	(8, 0.02812377968185506)	(9, 0.036696780014185484)	(10, 0.04591985553402656)	(12, 0.05273030294302952)	(14, 0.0660293712960878)	(16, 0.07716627958530711)	(18, 0.08531541091502357)	(20, 0.09470189721196667)	(22, 0.10454650455213901)	(24, 0.11516178280615494)	(26, 0.12605321813763148)	(28, 0.13580720028700927)	(30, 0.1452857389431059)	(32, 0.15382805515571848)	(34, 0.16486506165980994)	(36, 0.17381768877562626)	(38, 0.18272036499887867)	(40, 0.19269127673881983)	(42, 0.20165888912240534)	(44, 0.2107756405995032)	(46, 0.22033838218877905)	(48, 0.2290262695740065)	(50, 0.23750150887374752)	(52, 0.24632783158979504)	(54, 0.25830106053737056)	(56, 0.2686194877727208)	(58, 0.2783456401390987)	(60, 0.28801399218693824)	(62, 0.30030333892602556)	(64, 0.33043871240984823)	(66, 0.34787870975645685)	(68, 0.3593645607094442)	(70, 0.36990990771387067)	(72, 0.3790594840632248)	(74, 0.38756469389850423)	(76, 0.3969447579378319)	(78, 0.4073124224815666)	(80, 0.4154708304056164)	(82, 0.4235550255749997)	(84, 0.43555608430557513)	(86, 0.44964366317696414)	(88, 0.4617981425061287)	(90, 0.47637452654046486)	(92, 0.4871838996913006)	(94, 0.4980282384669312)	(96, 0.5059311832547254)
SRR1040883 - polyg	(1, 1.7126020307635275e-05)	(2, 5.4232397640845034e-05)	(3, 8.848443825611558e-05)	(4, 0.00012987232066623416)	(5, 0.00017268737143532234)	(6, 0.0002097937487685321)	(7, 0.00024975446281968105)	(8, 0.00031825854405022216)	(9, 0.00040817015066530734)	(10, 0.0005416103922289655)	(12, 0.0008027822019204035)	(14, 0.0011552927865858963)	(16, 0.0015920063044305957)	(18, 0.002072962041403353)	(20, 0.002586742650632411)	(22, 0.0031654594201945864)	(24, 0.0038141074393462726)	(26, 0.0045662251645232545)	(28, 0.005568097352519919)	(30, 0.006744797664490359)	(32, 0.008275435729485262)	(34, 0.009991605681146213)	(36, 0.011646407393371472)	(38, 0.01322699635093031)	(40, 0.014739081227258607)	(42, 0.016273287213150932)	(44, 0.0177068778297359)	(46, 0.019146890703936235)	(48, 0.020952258678032788)	(50, 0.02291675592415445)	(52, 0.024863413565788993)	(54, 0.026929953349576985)	(56, 0.029157763157928538)	(58, 0.031588944457433266)	(60, 0.03425204061527055)	(62, 0.037092105649620066)	(64, 0.04024043904950701)	(66, 0.04353220286947041)	(68, 0.04674119092461357)	(70, 0.05014570104493557)	(72, 0.053920561354410174)	(74, 0.05768757223791045)	(76, 0.06146171896320557)	(78, 0.06561977397706352)	(80, 0.06977497465420353)	(82, 0.0742420116177784)	(84, 0.079120786652916)	(86, 0.08412729325618137)	(88, 0.08941209768944583)	(90, 0.09488100684101736)	(92, 0.10056256407807536)	(94, 0.10666228164431146)	(96, 0.11135195687188558)
SRR1040884 - illumina_universal_adapter	(1, 0.061460450697729305)	(2, 0.06154421500648545)	(3, 0.061658585504979414)	(4, 0.06223849225790657)	(5, 0.062370582129406646)	(6, 0.06272658044162026)	(7, 0.06282645327129105)	(8, 0.06305036171200458)	(9, 0.06335320190519987)	(10, 0.0642407814075967)	(12, 0.06527092132008813)	(14, 0.06679076026838471)	(16, 0.06828724186135506)	(18, 0.06989487224863644)	(20, 0.07141068406670435)	(22, 0.07280970910814111)	(24, 0.0741869876463431)	(26, 0.07554735223758471)	(28, 0.07703819584823493)	(30, 0.07852420690261075)	(32, 0.07991839938777312)	(34, 0.08141165927656052)	(36, 0.08297982378760103)	(38, 0.08457939991442509)	(40, 0.0862152202133071)	(42, 0.08777774674202748)	(44, 0.08946350345574489)	(46, 0.09112751366622751)	(48, 0.09264654718847837)	(50, 0.09430008686036648)	(52, 0.09619364349388276)	(54, 0.09808075671903321)	(56, 0.10007096447803737)	(58, 0.10220373264713611)	(60, 0.10448631006074105)	(62, 0.10711360982191934)	(64, 0.11064137590222617)	(66, 0.11359245693378879)	(68, 0.11652018061002517)	(70, 0.12001009166618261)	(72, 0.12397842579350493)	(74, 0.12857821394068128)	(76, 0.13361454300464443)	(78, 0.1391663447378762)	(80, 0.14591017701879153)	(82, 0.1549712200332783)	(84, 0.16651458612071152)	(86, 0.17975337403441094)	(88, 0.19505485805123046)	(90, 0.214493815664976)	(92, 0.2404833033086612)	(94, 0.2763416762907025)	(96, 0.3079530377335981)
SRR1040884 - polya	(1, 0.008492412226199845)	(2, 0.011256634415152603)	(3, 0.01231335338715319)	(4, 0.01446545178134951)	(5, 0.01624383249032611)	(6, 0.017677490851729344)	(7, 0.020639847847932213)	(8, 0.026530733946417195)	(9, 0.03515684689620858)	(10, 0.044676982756762657)	(12, 0.051659221147214704)	(14, 0.06556490182678038)	(16, 0.07707846715052152)	(18, 0.08530750505976697)	(20, 0.09449016740715926)	(22, 0.10424307139492994)	(24, 0.1142440466047861)	(26, 0.1251527369681824)	(28, 0.13520445401891973)	(30, 0.14493802778159282)	(32, 0.15364629418804887)	(34, 0.16489567976878988)	(36, 0.1744568923576763)	(38, 0.1838175538611754)	(40, 0.19404807549406525)	(42, 0.20325248434469234)	(44, 0.21280081011684704)	(46, 0.22313523170963628)	(48, 0.23231628320493714)	(50, 0.2411421418140701)	(52, 0.2502450669829349)	(54, 0.2621291282877129)	(56, 0.2726632955398437)	(58, 0.2825168777833309)	(60, 0.2921755469237509)	(62, 0.30469831108279444)	(64, 0.32427419112431455)	(66, 0.3383079345451516)	(68, 0.34949369146827974)	(70, 0.3603306989136059)	(72, 0.3694529543075683)	(74, 0.377590979073646)	(76, 0.386515905086404)	(78, 0.39637431988616556)	(80, 0.40422078042368825)	(82, 0.4121075122634975)	(84, 0.4235244264617508)	(86, 0.4368920825427674)	(88, 0.4489380344827375)	(90, 0.4623427401618578)	(92, 0.47246452927857374)	(94, 0.4828464710080613)	(96, 0.4903014944873581)
SRR1040885 - illumina_universal_adapter	(1, 0.603217000434209)	(2, 0.6044314175803482)	(3, 0.6046542176252471)	(4, 0.605937671405017)	(5, 0.6062044038531353)	(6, 0.6069575307654698)	(7, 0.608093497191574)	(8, 0.6095024721233996)	(9, 0.6102524610069325)	(10, 0.611931306415678)	(12, 0.6143993660679736)	(14, 0.6179908400311682)	(16, 0.6220624324009758)	(18, 0.6281815885636926)	(20, 0.7794424218628475)	(22, 0.9378203044835622)	(24, 0.9424598800664221)	(26, 0.9497510899864592)	(28, 0.9575192802843079)	(30, 0.9614371092428473)	(32, 0.9651086029404774)	(34, 0.9693339587215533)	(36, 0.9745776048486813)	(38, 0.9789912423578407)	(40, 0.9840324856272789)	(42, 0.9905109460877553)	(44, 0.9956149499332212)	(46, 1.001945923040032)	(48, 1.0086597356606126)	(50, 1.017246951475625)	(52, 1.0319203741509395)	(54, 1.0476309153451147)	(56, 1.057423134219862)	(58, 1.0678351137828845)	(60, 1.0733094050269152)	(62, 1.0794175780888269)	(64, 1.102392655958227)	(66, 1.1106174294466786)	(68, 1.1201852792621265)	(70, 1.130653743343574)	(72, 1.1412414525194747)	(74, 1.1518652490265913)	(76, 1.1785212346800258)	(78, 1.1978059906789875)	(80, 1.2192120541476912)	(82, 1.2481572318117418)	(84, 1.2838774136580005)	(86, 1.327762746445484)	(88, 1.3907571056190515)	(90, 1.4876845392364844)	(92, 1.5624088500696596)	(94, 1.6569168634812181)	(96, 1.7355652793305354)
SRR1040885 - polya	(1, 0.008397365072528161)	(2, 0.011689157285189612)	(3, 0.012982025151363603)	(4, 0.016007084915906633)	(5, 0.01785538387992722)	(6, 0.019408708136616847)	(7, 0.02235845520992644)	(8, 0.02816380849250383)	(9, 0.0365109651042097)	(10, 0.046464792462228885)	(12, 0.05335276568128692)	(14, 0.06617318234937877)	(16, 0.07760659028725483)	(18, 0.08611378636783176)	(20, 0.09629668982835266)	(22, 0.10768773437740992)	(24, 0.11787377586673219)	(26, 0.12819789062331577)	(28, 0.13788969257641862)	(30, 0.14735241842701974)	(32, 0.15601494693326562)	(34, 0.16753151263437863)	(36, 0.17668671166244326)	(38, 0.18653698407001645)	(40, 0.19686580586980212)	(42, 0.20596608939384237)	(44, 0.21559983781411943)	(46, 0.22575763704422916)	(48, 0.23496932059071884)	(50, 0.2443394745916789)	(52, 0.2565291474706908)	(54, 0.2736502326110919)	(56, 0.2880867341119013)	(58, 0.30182659321880134)	(60, 0.3138201392977261)	(62, 0.33085179061728764)	(64, 0.6302809298318246)	(66, 0.6959661487025868)	(68, 0.7066542748001319)	(70, 0.7170772374639593)	(72, 0.7274029212349437)	(74, 0.7366632442278549)	(76, 0.7463848574545711)	(78, 0.7564830341374542)	(80, 0.7646858414242961)	(82, 0.7731365529864479)	(84, 0.7880108095050515)	(86, 0.804789849506101)	(88, 0.8183257367409105)	(90, 0.8328705002353678)	(92, 0.8438504630114426)	(94, 0.8545103468497752)	(96, 0.8622926582772303)
SRR1040886 - polya	(1, 0.03490923436318558)	(2, 0.11161190175418496)	(3, 0.18850986556120217)	(4, 0.29134970329591997)	(5, 0.3951660231107269)	(6, 0.49725722458404303)	(7, 0.5064198814355458)	(8, 0.5064198814355458)	(9, 0.5064198814355458)	(10, 0.5064198814355458)	(11, 0.5064198814355458)	(12, 0.5064198814355458)	(13, 0.5064198814355458)	(14, 0.5064198814355458)	(15, 0.5064198814355458)	(16, 0.5064198814355458)	(17, 0.5064198814355458)	(18, 0.5064198814355458)	(19, 0.5064198814355458)	(20, 0.5064198814355458)	(21, 0.5064198814355458)	(22, 0.5064198814355458)	(23, 0.5064198814355458)	(24, 0.5064198814355458)	(25, 0.5064198814355458)	(26, 0.5064198814355458)	(27, 0.5064198814355458)	(28, 0.5064198814355458)	(29, 0.5064198814355458)	(30, 0.5064198814355458)	(31, 0.5064361561368806)	(32, 0.5064687055395503)	(33, 0.5064849802408851)	(34, 0.5064849802408851)	(35, 0.5064849802408851)	(36, 0.50650125494222)	(37, 0.5065175296435548)	(38, 0.5065338043448896)															
